ledasila_index, 0_x,0_y,0_z,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z
61,0.0,0.0,0.0,0.030053632806703500,0.025542319227218000,-0.01983410166375360,0.04498511149232060,0.09661965342833460,-0.026694055582356800,0.04453443667467650,0.1564303189791350,-0.031745869672754000,0.038621320339173100,0.2048433557402860,-0.03443949372692970,0.024173580284540500,0.1703207849661150,1.12639478105633E-18,0.01285337437492110,0.24334408845409000,-0.013405023909865400,0.015754934491846100,0.24462884653044700,-0.029339651923755600,0.01789974014777530,0.2181117704507800,-0.03834681613180420,-2.39628808298919E-18,0.17389345854037000,0.0032149853226584300,-0.015723530690910400,0.25536910231533100,-0.01020154000825920,-0.008006972319547630,0.2380474593722180,-0.028169689986982300,-0.0026631416402900800,0.1978996663944880,-0.0374967634526429,-0.022505532268668800,0.1676988383477960,0.002470560905820290,-0.03792669977857960,0.24381792500625400,-0.007570350051120150,-0.027662997098539300,0.23352629746800500,-0.02131654156800160,-0.021438942050855800,0.19549603173948200,-0.028078417845932700,-0.045157032829181800,0.15226313581396500,2.08580248281029E-18,-0.054314256750236900,0.21519046064879700,-0.006417893500787640,-0.0463116707610711,0.21843822009660800,-0.013912773947729700,-0.03945371022131060,0.19273281728908500,-0.018573875659877700
62,0.0,0.0,0.0,0.030426556810766500,0.028382278299336100,-0.021993724941957800,0.057625152405320100,0.08050477636562180,-0.033333102107684800,0.08094747798826830,0.11561592353540600,-0.044474075790974300,0.10270368518394300,0.13050774611795100,-0.057598778885758000,0.023524881944372200,0.18552289100690700,8.94862546095719E-19,0.01720855385067380,0.2612101043327610,-0.003775797810409510,0.00954309415389626,0.30723519517879600,-0.00925879626874687,0.0020482011146187900,0.34578483367507200,-0.012226260535071900,1.83163185478236E-18,0.19073761299115200,0.004463786973166460,-0.006855783415197130,0.27378337511642700,0.0051562280630141300,-0.013095317706504100,0.3239868317972040,0.0035393749034702400,-0.018894442797653800,0.3644745373542070,0.0027284903118596300,-0.022420891533958000,0.18072537624032600,0.00411377073859986,-0.028619015316884000,0.2584830678234460,0.0046832511559301900,-0.03255993563104640,0.3062719848995130,0.0055621473073471900,-0.03560254042293790,0.3446936310778580,0.00656520635507691,-0.04445239967336180,0.15824257231118200,-5.16087357205064E-18,-0.05049663442801670,0.21925862326915900,0.00026707491067194300,-0.05190467212674640,0.2573808132489470,0.0026639780082230100,-0.051765101260323800,0.2892982852289600,0.004772180861255300
64,0.0,0.0,0.0,0.023488834931830900,0.030324972508938000,-0.01343383120470260,0.03720235861335860,0.0922499790694909,-0.020713867675666400,0.045859974047607,0.13610929383576,-0.027320770747071100,0.061532350956549600,0.1554661959382640,-0.03543890735527640,0.017739578890925400,0.1547246493407270,1.32127815096167E-18,0.02246725277998690,0.1984484613519940,-0.008554580920206150,0.027499328146034100,0.21983688578834200,-0.019002866187811600,0.03248363146672300,0.23966481585015500,-0.028449081184249100,2.97123870169499E-19,0.15887866065536800,0.001366138474243910,0.005712586050784400,0.20681462322120900,-0.007594652819034490,0.010471811908177300,0.23024737900179100,-0.01788136031091410,0.01655037871453240,0.2504181603804430,-0.02682869842853880,-0.018526048783291300,0.1528999778574470,0.0008569908608275330,-0.015260602245643500,0.20310512034886000,-0.008436130069062490,-0.008538084594081380,0.22623829340222100,-0.016078313996617500,9.40218605338846E-05,0.24405442477309500,-0.022795505018091300,-0.038589663070443800,0.13918709486087500,-9.42682764820884E-20,-0.03554545353534950,0.18328077629412900,-0.008940054490020450,-0.02839648621421320,0.2077769298589480,-0.015076493869319000,-0.019420825943639900,0.2283841251695020,-0.02073670845973710
65,0.0,0.0,0.0,0.029116173567073505,0.040227971880842095,-0.01687177855081801,0.04913648890815474,0.09986243278828456,-0.027405629225013935,0.061660593123296505,0.14980562509372586,-0.03718612254759695,0.06046368744868772,0.19122369494867425,-0.04255174735794905,0.02068642068925947,0.16434033568591888,-2.027441841625191e-18,0.01990037876256303,0.21249098647117182,-0.010048272232460279,0.021454121599603294,0.23338422881178822,-0.022002115394337496,0.02501008140698228,0.24444085168209798,-0.030813287492853093,-5.7107677410447405e-18,0.1673023127840125,0.0018931435546430898,-0.0004248212744216468,0.22016661290415543,-0.008751871666392777,0.0002944326582513943,0.2435890713120293,-0.02221879796840255,0.0053353706844870155,0.25012974143607,-0.031179619885851592,-0.020119291199546953,0.1610912940729852,0.0011340208547647819,-0.023308568157567013,0.21460801964795534,-0.009562571760571705,-0.021539122533516107,0.23894247100191188,-0.01963360042159974,-0.014567334173296044,0.24270230006872567,-0.02511254615584598,-0.041184270040745624,0.14573152056982208,2.030730140005872e-19,-0.04488272419957013,0.19466208474567365,-0.00937068471992449,-0.042424006497416435,0.22298706330578286,-0.01661568465730216,-0.03610742997589004,0.23718287502991858,-0.021031517393799565
68,0.0,0.0,0.0,0.02339835157453985,0.03747114955791859,-0.015915989450680314,0.03986230575569689,0.10659993532300502,-0.026701632083943057,0.05282527287773256,0.15019419222075917,-0.037938668624362196,0.06944134992710677,0.1700964817400028,-0.050050685989474104,0.01715821459262923,0.1704929352410176,8.375836808666669e-19,0.014091824919940661,0.22277572293713718,-0.0119515699249909,0.02012342229430005,0.24037943647350576,-0.027379164612927876,0.02891095648133046,0.24162345647753303,-0.038687458968212955,-4.906654538466796e-19,0.17172012637845002,0.0020478530133533524,-0.00691933251798055,0.23986423906098175,-0.00923762611173942,0.001298892676344276,0.24957797785073668,-0.02279203274388836,0.012677071005929321,0.23410851603637686,-0.031335917197832255,-0.017654104377655643,0.16165300428203924,0.0015769923943685293,-0.026077676736198926,0.22970586755841127,-0.005542859150558347,-0.015254490609604883,0.24072602674983604,-0.014216006149338342,-0.002968598449602403,0.22964423080606,-0.01950201314128778,-0.035539515803046456,0.14043549071392372,1.818996047738116e-18,-0.038887575683431104,0.19378907143785393,-0.005136637870998906,-0.029988965912065273,0.21597775482553314,-0.011127568223063315,-0.018966157437579376,0.22217336987028422,-0.01603018540131265
69,0.0,0.0,0.0,0.030866386688065215,0.021880433044136637,-0.021395832324643493,0.05397307845288163,0.06908904830290627,-0.03515233775184678,0.07296299286734309,0.09866544460304538,-0.050448979342743366,0.07888450113684166,0.12844023056122889,-0.06008884530382212,0.021137827212812533,0.16999108035905966,7.056160098728764e-19,0.007815227898387652,0.2498044429081605,-0.01150362957894995,0.015576230148589977,0.24302052651302847,-0.0307656946839951,0.02066483071540276,0.20853561841374668,-0.04269791578201183,1.9875676014876486e-19,0.17066074309870022,0.0033571291789023954,-0.014231838519404348,0.25562177254708496,-0.005831764643373402,-0.0029598951668660663,0.2357067602417286,-0.022907381195869086,0.001970495122533137,0.1957545216019712,-0.031700354930101086,-0.02158357461058679,0.1629678344734579,0.0027986434852635966,-0.03538072447503656,0.243757535487087,-0.0007713047330837993,-0.022141449366368242,0.23275680138577218,-0.011444957259147794,-0.015551876783707633,0.19649066468712445,-0.01688137463950036,-0.044110688309074574,0.14657739003283593,-6.0245128102673e-18,-0.05439579506925091,0.2119430068261457,0.00028052715044498517,-0.04328527546298494,0.2156498339990699,-0.0046912672260594045,-0.034689731962326935,0.19237273617358291,-0.008318305474153548
70,0.0,0.0,0.0,0.029015651196568376,0.022312895922825666,-0.02201883274487302,0.052359732317263805,0.07509938465051874,-0.0359275838111142,0.07279455973458272,0.10942490943140686,-0.051918253988868956,0.09078939579101256,0.12871071116604613,-0.06684561207902336,0.02367329610380515,0.1751930045550597,-4.024209068151395e-18,0.009418655586508229,0.2528424903861772,-0.009807249839373509,0.013974213752793523,0.24714552913464055,-0.027601038609219822,0.01694349482710373,0.21384140639081162,-0.03909800238734772,-2.7328420583805073e-18,0.1756201776112286,0.003596334264767753,-0.01765848136189657,0.2616762226101161,-0.005313975555900034,-0.007277365956948956,0.2362994776063295,-0.023247237924135626,-0.0018105501891215459,0.19380842049986663,-0.032336580916720835,-0.023194935091746607,0.16718400410382467,0.0030099818508541247,-0.04082874530549079,0.25023763141511074,4.442444086913147e-05,-0.02823637038415372,0.235622007673268,-0.010994347896593513,-0.021160691975433393,0.19655122494129745,-0.016757977402381486,-0.04689759095229571,0.14999553607472393,-4.80452338495597e-18,-0.058566463744430655,0.2154346964223464,0.0007047091128147143,-0.047711669616664086,0.21634569941987053,-0.0043582648844331705,-0.03901919739937065,0.190639869250018,-0.00841108364120066
71,0.0,0.0,0.0,0.026626201106359455,0.03835805945398723,-0.021092170315320534,0.03984250701305005,0.09997163821394199,-0.028665173417539318,0.014217622321427623,0.14003541564086683,-0.02634527684664383,-0.018225958769872784,0.14022951419880933,-0.028262814524116275,0.023683565485831892,0.19510962448272423,-5.6999855332306045e-18,0.018559131691479207,0.27071151303212815,-0.0029445752597225742,0.012262687405823348,0.3179083578132082,-0.008588834511273274,0.005497453690894187,0.36184451075328466,-0.012304908818863036,-4.409449292686513e-18,0.20066253562580502,0.004820417785787962,-0.003430476028674176,0.2835954953166166,0.004570799496570155,-0.008315646855475629,0.3358135342509679,0.0007341871166201086,-0.01283458327799851,0.38528030104588784,-0.0013201955290736427,-0.022411744407924067,0.1887395105131711,0.00443002436789754,-0.028797360175304442,0.26811299266262734,0.0054137590318178675,-0.03369348050676343,0.317210069270042,0.0032285302080288097,-0.037312743222930274,0.3614757914651627,0.0023216965458226157,-0.044953197114617344,0.16321356790976174,-2.422942859708356e-18,-0.05149971434842128,0.2267291727702381,-0.0008057781951491042,-0.054353572047086435,0.26841934799672945,-0.001023588626575141,-0.05638529561160099,0.3066442354068866,-0.0006012103774805316
72,0.0,0.0,0.0,0.01971579138000579,0.028645313810112795,-0.02301685893340927,0.02926402137074673,0.07811438032657896,-0.029334146007368965,0.008717620751907074,0.11862912696885454,-0.026349235284848116,-0.021073697599761163,0.1436336203914464,-0.02371364565613231,0.02395493906753784,0.17879839600260636,5.601483992767074e-19,0.017098545583740573,0.2567182808532879,0.0008641423140571022,0.008523035221175616,0.30604911720316985,-0.0004450216249171271,0.0019527913827702818,0.35009248354752814,-0.0010086711232590285,1.4233649134194756e-19,0.185173253302834,0.005206680392150111,-0.007345158574861072,0.2698719416332041,0.008571348828389575,-0.01460125342157661,0.32262181751504065,0.007664435195415813,-0.018304751953485947,0.36948934604568684,0.007697152257243209,-0.021231256027272483,0.17587236115995877,0.00464530792901823,-0.0327064079016748,0.25057107143075014,0.0014316877247636398,-0.03736326989055526,0.2996755582426783,-0.0036727529501906693,-0.04029677825223814,0.34416595761549507,-0.005721252106955335,-0.04099953926721021,0.1517242271355459,3.779232595228897e-18,-0.042021822339401174,0.19620570188218792,-0.011356371845553414,-0.033975770179568494,0.16586205998485523,-0.020916981976637296,-0.027889267452130287,0.13113424547567662,-0.02878447751761561
73,0.0,0.0,0.0,0.02349541352746788,0.0474181262856017,-0.017797230456041764,0.029973778910523347,0.11218486352411455,-0.02582464670837009,0.012243444858005105,0.1488377382950392,-0.027080016470554958,-0.011376637676296434,0.1415624072202712,-0.024446965884332237,0.018740384480859282,0.1591751192099571,-7.502506239935285e-19,0.022782310467101722,0.19190685070259442,-0.01053504242265858,0.029025267586392293,0.2057482430391759,-0.024067167874483823,0.03532739927998619,0.220680491013116,-0.03579155480791629,-5.849780330660442e-19,0.16280023516122627,0.0021155235744945524,0.005716241745312285,0.1963385951264964,-0.008198592885382161,0.011879796761556798,0.21587248112749466,-0.021168472559306532,0.019523608438792157,0.23880393031264022,-0.03213978687279748,-0.02003522718801662,0.15480977844619648,0.0016148754389919524,-0.016251617089902467,0.19168348717613878,-0.009948106835234923,-0.008800663559154546,0.2118345924659205,-0.021680453790863065,0.0009569211603783344,0.23036918718430355,-0.03056717105739893,-0.04131277981297571,0.14058200360188378,1.727692254217913e-18,-0.036317571672723065,0.17488674013048028,-0.010997275250762297,-0.02854735718655488,0.19653403339855316,-0.019727599448830437,-0.019121143785083863,0.21559080141592354,-0.026875985995575502
